Frame length on the wire,Frame Number,Frame Type,Subtype
342,1,Management frame,12
342,2,Management frame,12
136,3,Data frame,0
154,4,Data frame,0
342,5,Management frame,8
342,6,Management frame,12
154,7,Data frame,0
342,8,Management frame,8
154,9,Data frame,0
342,10,Management frame,8
136,11,Data frame,0
342,12,Management frame,8
342,13,Management frame,12
342,14,Management frame,8
342,15,Management frame,8
342,16,Management frame,8
342,17,Management frame,8
136,18,Data frame,0
154,19,Data frame,0
342,20,Management frame,8
156,21,Management frame,4
336,22,Management frame,5
156,23,Management frame,4
156,24,Management frame,4
156,25,Management frame,4
156,26,Management frame,4
156,27,Management frame,4
156,28,Management frame,12
156,29,Management frame,4
156,30,Management frame,12
156,31,Management frame,4
336,32,Management frame,5
156,33,Management frame,4
156,34,Management frame,4
156,35,Management frame,4
156,36,Management frame,4
156,37,Management frame,4
156,38,Management frame,4
156,39,Management frame,12
336,40,Management frame,5
342,41,Management frame,8
154,42,Data frame,0
138,43,Data frame,0
342,44,Management frame,8
154,45,Data frame,0
342,46,Management frame,8
136,47,Data frame,0
342,48,Management frame,8
300,49,Data frame,0
342,50,Management frame,8
342,51,Management frame,12
342,52,Management frame,12
342,53,Management frame,12
342,54,Management frame,12
154,55,Data frame,0
342,56,Management frame,8
342,57,Management frame,8
154,58,Data frame,0
342,59,Management frame,8
154,60,Data frame,0
342,61,Management frame,8
136,62,Data frame,0
136,63,Data frame,0
342,64,Management frame,8
342,65,Management frame,8
342,66,Management frame,8
342,67,Management frame,8
342,68,Management frame,8
342,69,Management frame,8
154,70,Data frame,0
342,71,Management frame,8
342,72,Management frame,8
138,73,Data frame,0
154,74,Data frame,0
342,75,Management frame,8
154,76,Data frame,0
136,77,Data frame,0
342,78,Management frame,8
136,79,Data frame,0
342,80,Management frame,8
136,81,Data frame,0
342,82,Management frame,8
342,83,Management frame,8
342,84,Management frame,8
342,85,Management frame,8
342,86,Management frame,8
154,87,Data frame,0
342,88,Management frame,8
342,89,Management frame,8
154,90,Data frame,0
342,91,Management frame,8
154,92,Data frame,0
136,93,Data frame,0
136,94,Data frame,0
342,95,Management frame,8
336,96,Management frame,5
136,97,Data frame,0
342,98,Management frame,8
336,99,Management frame,5
156,100,Management frame,4
156,101,Management frame,4
336,102,Management frame,5
156,103,Management frame,4
156,104,Management frame,4
336,105,Management frame,5
156,106,Management frame,4
156,107,Management frame,4
156,108,Management frame,4
156,109,Management frame,4
156,110,Management frame,4
156,111,Management frame,4
156,112,Management frame,4
156,113,Management frame,4
156,114,Management frame,4
156,115,Management frame,4
336,116,Management frame,5
342,117,Management frame,8
342,118,Management frame,8
342,119,Management frame,8
342,120,Management frame,8
342,121,Management frame,8
154,122,Data frame,0
342,123,Management frame,8
138,124,Data frame,0
336,125,Management frame,5
342,126,Management frame,8
336,127,Management frame,5
154,128,Data frame,0
342,129,Management frame,8
198,130,Management frame,4
336,131,Management frame,5
154,132,Data frame,0
124,133,Management frame,11
70,134,Control frame,13
101,135,Management frame,11
272,136,Management frame,0
70,137,Control frame,13
233,138,Management frame,1
96,139,Management frame,13
70,140,Control frame,13
103,141,Data frame,8
93,142,Management frame,13
70,143,Control frame,13
93,144,Management frame,13
109,145,Data frame,8
70,146,Control frame,13
80,147,Control frame,8
88,148,Control frame,9
104,149,Data frame,8
70,150,Control frame,13
136,151,Data frame,0
104,152,Data frame,8
70,153,Control frame,13
104,154,Data frame,8
342,155,Management frame,8
259,156,Data frame,8
70,157,Control frame,13
1102,158,Data frame,8
104,159,Data frame,8
70,160,Control frame,13
1102,161,Data frame,8
104,162,Data frame,8
70,163,Control frame,13
896,164,Data frame,8
136,165,Data frame,0
1374,166,Data frame,8
70,167,Control frame,13
104,168,Data frame,8
201,169,Data frame,8
70,170,Control frame,13
159,171,Data frame,8
342,172,Management frame,8
104,173,Data frame,8
70,174,Control frame,13
102,175,Data frame,8
215,176,Data frame,8
215,177,Data frame,8
70,178,Control frame,13
281,179,Data frame,8
193,180,Data frame,8
70,181,Control frame,13
138,182,Data frame,8
70,183,Control frame,13
109,184,Management frame,13
79,185,Control frame,5
138,186,Data frame,8
109,187,Management frame,13
70,188,Control frame,13
80,189,Control frame,8
138,190,Data frame,8
70,191,Control frame,13
76,192,Control frame,11
138,193,Data frame,8
70,194,Control frame,13
76,195,Control frame,11
84,196,Data frame,4
70,197,Control frame,13
342,198,Management frame,8
136,199,Data frame,0
84,200,Data frame,4
70,201,Control frame,13
79,202,Control frame,5
76,203,Control frame,11
109,204,Management frame,13
70,205,Control frame,13
109,206,Management frame,13
80,207,Control frame,8
88,208,Control frame,9
76,209,Control frame,11
76,210,Control frame,11
70,211,Control frame,12
76,212,Control frame,11
70,213,Control frame,12
88,214,Control frame,9
76,215,Control frame,11
76,216,Control frame,11
76,217,Control frame,11
70,218,Control frame,12
76,219,Control frame,11
70,220,Control frame,12
88,221,Control frame,9
76,222,Control frame,11
209,223,Data frame,0
229,224,Data frame,0
342,225,Management frame,8
342,226,Management frame,8
136,227,Data frame,0
76,228,Control frame,11
76,229,Control frame,11
70,230,Control frame,12
88,231,Control frame,9
76,232,Control frame,11
76,233,Control frame,11
70,234,Control frame,12
88,235,Control frame,9
76,236,Control frame,11
76,237,Control frame,11
70,238,Control frame,12
88,239,Control frame,9
76,240,Control frame,11
70,241,Control frame,12
76,242,Control frame,11
76,243,Control frame,11
76,244,Control frame,11
70,245,Control frame,12
88,246,Control frame,9
76,247,Control frame,11
70,248,Control frame,12
76,249,Control frame,11
76,250,Control frame,11
70,251,Control frame,12
88,252,Control frame,9
76,253,Control frame,11
76,254,Control frame,11
70,255,Control frame,12
88,256,Control frame,9
76,257,Control frame,11
70,258,Control frame,12
88,259,Control frame,9
76,260,Control frame,11
76,261,Control frame,11
70,262,Control frame,12
209,263,Data frame,8
76,264,Control frame,11
70,265,Control frame,12
88,266,Control frame,9
342,267,Management frame,8
76,268,Control frame,11
70,269,Control frame,12
79,270,Control frame,5
76,271,Control frame,11
79,272,Control frame,5
76,273,Control frame,11
76,274,Control frame,11
70,275,Control frame,12
76,276,Control frame,11
70,277,Control frame,12
76,278,Control frame,11
76,279,Control frame,11
70,280,Control frame,12
88,281,Control frame,9
342,282,Management frame,8
76,283,Control frame,11
70,284,Control frame,12
79,285,Control frame,5
76,286,Control frame,11
88,287,Control frame,9
76,288,Control frame,11
70,289,Control frame,12
88,290,Control frame,9
154,291,Data frame,0
342,292,Management frame,8
342,293,Management frame,8
84,294,Data frame,4
70,295,Control frame,13
342,296,Management frame,8
79,297,Control frame,5
286,298,Management frame,14
76,299,Control frame,11
84,300,Data frame,4
70,301,Control frame,13
224,302,Data frame,0
154,303,Data frame,0
76,304,Control frame,11
70,305,Control frame,12
76,306,Control frame,11
70,307,Control frame,12
136,308,Data frame,0
76,309,Control frame,11
70,310,Control frame,12
88,311,Control frame,9
79,312,Control frame,5
76,313,Control frame,11
76,314,Control frame,11
70,315,Control frame,12
88,316,Control frame,9
342,317,Management frame,8
342,318,Management frame,8
84,319,Data frame,4
70,320,Control frame,13
342,321,Management frame,8
70,322,Control frame,13
209,323,Data frame,0
229,324,Data frame,0
436,325,Data frame,0
79,326,Control frame,5
76,327,Control frame,11
76,328,Control frame,11
76,329,Control frame,11
76,330,Control frame,11
88,331,Control frame,9
342,332,Management frame,8
84,333,Data frame,4
70,334,Control frame,13
342,335,Management frame,8
342,336,Management frame,8
342,337,Management frame,8
342,338,Management frame,8
342,339,Management frame,8
154,340,Data frame,0
138,341,Data frame,0
342,342,Management frame,8
70,343,Control frame,13
84,344,Data frame,4
70,345,Control frame,13
342,346,Management frame,8
342,347,Management frame,8
136,348,Data frame,0
342,349,Management frame,8
342,350,Management frame,8
342,351,Management frame,8
224,352,Data frame,0
154,353,Data frame,0
136,354,Data frame,0
342,355,Management frame,8
84,356,Data frame,4
70,357,Control frame,13
342,358,Management frame,8
84,359,Data frame,4
70,360,Control frame,13
342,361,Management frame,8
136,362,Data frame,0
342,363,Management frame,8
342,364,Management frame,8
84,365,Data frame,4
70,366,Control frame,13
79,367,Control frame,5
76,368,Control frame,11
84,369,Data frame,4
70,370,Control frame,13
342,371,Management frame,8
136,372,Data frame,0
154,373,Data frame,0
136,374,Data frame,0
342,375,Management frame,8
342,376,Management frame,8
342,377,Management frame,8
136,378,Data frame,0
136,379,Data frame,0
154,380,Data frame,0
342,381,Management frame,8
342,382,Management frame,8
342,383,Management frame,8
136,384,Data frame,0
84,385,Data frame,4
70,386,Control frame,13
70,387,Control frame,12
194,388,Data frame,8
88,389,Control frame,9
76,390,Control frame,11
154,391,Data frame,0
109,392,Management frame,13
70,393,Control frame,13
109,394,Management frame,13
80,395,Control frame,8
88,396,Control frame,9
138,397,Data frame,0
342,398,Management frame,8
84,399,Data frame,4
70,400,Control frame,13
342,401,Management frame,8
342,402,Management frame,8
136,403,Data frame,0
136,404,Data frame,0
342,405,Management frame,8
342,406,Management frame,8
342,407,Management frame,8
154,408,Data frame,0
84,409,Data frame,4
70,410,Control frame,13
209,411,Data frame,0
229,412,Data frame,0
84,413,Data frame,4
70,414,Control frame,13
342,415,Management frame,8
342,416,Management frame,8
84,417,Data frame,4
70,418,Control frame,13
342,419,Management frame,8
136,420,Data frame,0
164,421,Data frame,0
84,422,Data frame,4
70,423,Control frame,13
336,424,Management frame,5
342,425,Management frame,8
336,426,Management frame,5
336,427,Management frame,5
336,428,Management frame,5
342,429,Management frame,8
342,430,Management frame,8
154,431,Data frame,0
136,432,Data frame,0
93,433,Management frame,13
93,434,Management frame,13
93,435,Management frame,13
93,436,Management frame,13
93,437,Management frame,13
93,438,Management frame,13
93,439,Management frame,13
342,440,Management frame,8
342,441,Management frame,8
342,442,Management frame,8
136,443,Data frame,0
154,444,Data frame,0
138,445,Management frame,4
336,446,Management frame,5
342,447,Management frame,8
342,448,Management frame,8
342,449,Management frame,8
342,450,Management frame,8
342,451,Management frame,8
342,452,Management frame,8
138,453,Data frame,0
154,454,Data frame,0
342,455,Management frame,8
342,456,Management frame,8
342,457,Management frame,8
136,458,Data frame,0
136,459,Data frame,0
300,460,Data frame,0
154,461,Data frame,0
342,462,Management frame,8
342,463,Management frame,8
342,464,Management frame,8
342,465,Management frame,8
342,466,Management frame,8
342,467,Management frame,8
342,468,Management frame,8
342,469,Management frame,8
76,470,Control frame,11
70,471,Control frame,12
84,472,Data frame,4
70,473,Control frame,13
342,474,Management frame,8
154,475,Data frame,0
136,476,Data frame,0
136,477,Data frame,0
76,478,Control frame,11
70,479,Control frame,12
223,480,Data frame,8
88,481,Control frame,9
76,482,Control frame,11
70,483,Control frame,12
88,484,Control frame,9
154,485,Data frame,0
136,486,Data frame,0
342,487,Management frame,8
342,488,Management frame,8
84,489,Data frame,4
70,490,Control frame,13
342,491,Management frame,8
202,492,Management frame,4
70,493,Control frame,13
90,494,Management frame,11
70,495,Control frame,13
101,496,Management frame,11
312,497,Management frame,0
70,498,Control frame,13
233,499,Management frame,1
103,500,Data frame,8
110,501,Data frame,8
70,502,Control frame,13
104,503,Data frame,8
104,504,Data frame,8
70,505,Control frame,13
104,506,Data frame,8
245,507,Data frame,8
70,508,Control frame,13
1102,509,Data frame,8
104,510,Data frame,8
70,511,Control frame,13
342,512,Management frame,8
1102,513,Data frame,8
104,514,Data frame,8
70,515,Control frame,13
896,516,Data frame,8
1506,517,Data frame,8
70,518,Control frame,13
104,519,Data frame,8
1282,520,Data frame,8
70,521,Control frame,13
159,522,Data frame,8
104,523,Data frame,8
70,524,Control frame,13
102,525,Data frame,8
342,526,Management frame,8
215,527,Data frame,8
221,528,Data frame,8
70,529,Control frame,13
281,530,Data frame,8
193,531,Data frame,8
70,532,Control frame,13
342,533,Management frame,8
109,534,Management frame,13
70,535,Control frame,13
109,536,Management frame,13
190,537,Data frame,8
88,538,Control frame,9
194,539,Data frame,8
88,540,Control frame,9
440,541,Data frame,8
70,542,Control frame,13
109,543,Management frame,13
79,544,Control frame,5
438,545,Data frame,8
109,546,Management frame,13
70,547,Control frame,13
80,548,Control frame,8
452,549,Data frame,8
70,550,Control frame,13
76,551,Control frame,11
342,552,Management frame,8
84,553,Data frame,4
70,554,Control frame,13
286,555,Management frame,14
76,556,Control frame,11
88,557,Control frame,9
76,558,Control frame,11
70,559,Control frame,12
88,560,Control frame,9
342,561,Management frame,8
86,562,Data frame,12
70,563,Control frame,13
86,564,Data frame,12
70,565,Control frame,13
138,566,Data frame,8
138,567,Data frame,8
70,568,Control frame,13
76,569,Control frame,11
76,570,Control frame,11
70,571,Control frame,12
194,572,Data frame,8
194,573,Data frame,8
194,574,Data frame,8
194,575,Data frame,8
194,576,Data frame,8
180,577,Data frame,8
88,578,Control frame,9
84,579,Data frame,4
70,580,Control frame,13
138,581,Data frame,8
70,582,Control frame,13
76,583,Control frame,11
300,584,Data frame,8
300,585,Data frame,8
88,586,Control frame,9
79,587,Control frame,5
76,588,Control frame,11
76,589,Control frame,11
76,590,Control frame,11
76,591,Control frame,11
88,592,Control frame,9
76,593,Control frame,11
76,594,Control frame,11
79,595,Control frame,5
76,596,Control frame,11
76,597,Control frame,11
88,598,Control frame,9
76,599,Control frame,11
79,600,Control frame,5
76,601,Control frame,11
342,602,Management frame,8
180,603,Data frame,0
184,604,Data frame,0
438,605,Data frame,0
450,606,Data frame,0
138,607,Data frame,0
79,608,Control frame,5
76,609,Control frame,11
76,610,Control frame,11
76,611,Control frame,11
88,612,Control frame,9
76,613,Control frame,11
76,614,Control frame,11
342,615,Management frame,8
79,616,Control frame,5
76,617,Control frame,11
79,618,Control frame,5
76,619,Control frame,11
76,620,Control frame,11
76,621,Control frame,11
76,622,Control frame,11
76,623,Control frame,11
76,624,Control frame,11
79,625,Control frame,5
76,626,Control frame,11
76,627,Control frame,11
76,628,Control frame,11
76,629,Control frame,11
342,630,Management frame,8
154,631,Data frame,0
136,632,Data frame,0
136,633,Data frame,0
136,634,Data frame,0
154,635,Data frame,0
136,636,Data frame,0
138,637,Data frame,8
70,638,Control frame,13
79,639,Control frame,5
76,640,Control frame,11
88,641,Control frame,9
76,642,Control frame,11
88,643,Control frame,9
76,644,Control frame,11
76,645,Control frame,11
342,646,Management frame,8
79,647,Control frame,5
76,648,Control frame,11
86,649,Data frame,12
70,650,Control frame,13
342,651,Management frame,8
86,652,Data frame,12
70,653,Control frame,13
79,654,Control frame,5
76,655,Control frame,11
76,656,Control frame,11
76,657,Control frame,11
86,658,Data frame,12
70,659,Control frame,13
342,660,Management frame,8
136,661,Data frame,0
184,662,Data frame,0
164,663,Data frame,0
184,664,Data frame,0
86,665,Data frame,12
70,666,Control frame,13
129,667,Management frame,13
70,668,Control frame,13
84,669,Data frame,4
70,670,Control frame,13
86,671,Data frame,12
70,672,Control frame,13
86,673,Data frame,12
70,674,Control frame,13
76,675,Control frame,11
342,676,Management frame,8
86,677,Data frame,12
70,678,Control frame,13
156,679,Management frame,4
336,680,Management frame,5
156,681,Management frame,4
336,682,Management frame,5
156,683,Management frame,4
156,684,Management frame,4
336,685,Management frame,5
336,686,Management frame,5
156,687,Management frame,4
156,688,Management frame,4
156,689,Management frame,4
156,690,Management frame,4
336,691,Management frame,5
342,692,Management frame,8
86,693,Data frame,12
70,694,Control frame,13
79,695,Control frame,5
76,696,Control frame,11
86,697,Data frame,12
70,698,Control frame,13
84,699,Data frame,4
70,700,Control frame,13
342,701,Management frame,8
184,702,Data frame,0
86,703,Data frame,12
70,704,Control frame,13
86,705,Data frame,12
70,706,Control frame,13
342,707,Management frame,8
342,708,Management frame,8
342,709,Management frame,8
164,710,Data frame,0
136,711,Data frame,0
136,712,Data frame,0
136,713,Data frame,0
154,714,Data frame,0
342,715,Management frame,8
342,716,Management frame,8
342,717,Management frame,8
136,718,Data frame,0
342,719,Management frame,8
86,720,Data frame,12
70,721,Control frame,13
79,722,Control frame,5
76,723,Control frame,11
342,724,Management frame,8
86,725,Data frame,12
70,726,Control frame,13
86,727,Data frame,12
70,728,Control frame,13
86,729,Data frame,12
70,730,Control frame,13
342,731,Management frame,8
138,732,Data frame,0
136,733,Data frame,0
342,734,Management frame,8
342,735,Management frame,8
342,736,Management frame,8
136,737,Data frame,0
342,738,Management frame,8
342,739,Management frame,8
86,740,Data frame,12
70,741,Control frame,13
79,742,Control frame,5
76,743,Control frame,11
76,744,Control frame,11
76,745,Control frame,11
76,746,Control frame,11
86,747,Data frame,12
70,748,Control frame,13
342,749,Management frame,8
154,750,Data frame,0
136,751,Data frame,0
86,752,Data frame,12
70,753,Control frame,13
86,754,Data frame,12
70,755,Control frame,13
342,756,Management frame,8
86,757,Data frame,12
70,758,Control frame,13
76,759,Control frame,11
76,760,Control frame,11
76,761,Control frame,11
70,762,Control frame,12
170,763,Data frame,8
76,764,Control frame,11
70,765,Control frame,12
425,766,Data frame,8
76,767,Control frame,11
76,768,Control frame,11
76,769,Control frame,11
76,770,Control frame,11
76,771,Control frame,11
70,772,Control frame,12
170,773,Data frame,8
342,774,Management frame,8
86,775,Data frame,12
70,776,Control frame,13
86,777,Data frame,12
70,778,Control frame,13
342,779,Management frame,8
86,780,Data frame,12
70,781,Control frame,13
156,782,Management frame,4
156,783,Management frame,4
336,784,Management frame,5
336,785,Management frame,5
336,786,Management frame,5
156,787,Management frame,4
156,788,Management frame,4
156,789,Management frame,4
156,790,Management frame,4
156,791,Management frame,4
156,792,Management frame,4
156,793,Management frame,4
336,794,Management frame,5
86,795,Data frame,12
70,796,Control frame,13
76,797,Control frame,11
342,798,Management frame,8
76,799,Control frame,11
86,800,Data frame,12
70,801,Control frame,13
342,802,Management frame,8
86,803,Data frame,12
70,804,Control frame,13
86,805,Data frame,12
70,806,Control frame,13
342,807,Management frame,8
136,808,Data frame,0
86,809,Data frame,12
70,810,Control frame,13
76,811,Control frame,11
76,812,Control frame,11
86,813,Data frame,12
70,814,Control frame,13
342,815,Management frame,8
86,816,Data frame,12
70,817,Control frame,13
86,818,Data frame,12
70,819,Control frame,13
342,820,Management frame,8
342,821,Management frame,8
154,822,Data frame,0
136,823,Data frame,0
342,824,Management frame,8
342,825,Management frame,8
342,826,Management frame,8
76,827,Control frame,11
70,828,Control frame,12
84,829,Data frame,4
70,830,Control frame,13
76,831,Control frame,11
76,832,Control frame,11
70,833,Control frame,12
88,834,Control frame,9
76,835,Control frame,11
70,836,Control frame,12
88,837,Control frame,9
76,838,Control frame,11
76,839,Control frame,11
88,840,Control frame,9
76,841,Control frame,11
70,842,Control frame,12
88,843,Control frame,9
76,844,Control frame,11
70,845,Control frame,12
88,846,Control frame,9
76,847,Control frame,11
88,848,Control frame,9
342,849,Management frame,8
342,850,Management frame,8
84,851,Data frame,4
70,852,Control frame,13
342,853,Management frame,8
136,854,Data frame,0
138,855,Data frame,0
342,856,Management frame,8
76,857,Control frame,11
70,858,Control frame,12
88,859,Control frame,9
84,860,Data frame,4
70,861,Control frame,13
76,862,Control frame,11
76,863,Control frame,11
76,864,Control frame,11
70,865,Control frame,12
88,866,Control frame,9
76,867,Control frame,11
70,868,Control frame,12
88,869,Control frame,9
76,870,Control frame,11
76,871,Control frame,11
70,872,Control frame,12
88,873,Control frame,9
84,874,Data frame,4
70,875,Control frame,13
342,876,Management frame,8
342,877,Management frame,8
136,878,Data frame,0
154,879,Data frame,0
84,880,Data frame,4
70,881,Control frame,13
76,882,Control frame,11
70,883,Control frame,12
88,884,Control frame,9
79,885,Control frame,5
76,886,Control frame,11
88,887,Control frame,9
76,888,Control frame,11
76,889,Control frame,11
70,890,Control frame,12
88,891,Control frame,9
76,892,Control frame,11
70,893,Control frame,12
88,894,Control frame,9
84,895,Data frame,4
70,896,Control frame,13
342,897,Management frame,8
84,898,Data frame,4
70,899,Control frame,13
342,900,Management frame,8
84,901,Data frame,4
70,902,Control frame,13
185,903,Management frame,4
336,904,Management frame,5
185,905,Management frame,4
336,906,Management frame,5
342,907,Management frame,8
136,908,Data frame,0
86,909,Data frame,12
70,910,Control frame,13
336,911,Management frame,5
192,912,Management frame,4
336,913,Management frame,5
86,914,Data frame,12
70,915,Control frame,13
336,916,Management frame,5
336,917,Management frame,5
336,918,Management frame,5
336,919,Management frame,5
336,920,Management frame,5
84,921,Data frame,4
70,922,Control frame,13
101,923,Management frame,11
70,924,Control frame,13
101,925,Management frame,11
264,926,Management frame,0
70,927,Control frame,13
233,928,Management frame,1
84,929,Data frame,4
70,930,Control frame,13
96,931,Management frame,13
70,932,Control frame,13
342,933,Management frame,8
109,934,Data frame,8
70,935,Control frame,13
104,936,Data frame,8
104,937,Data frame,8
70,938,Control frame,13
104,939,Data frame,8
266,940,Data frame,8
70,941,Control frame,13
1102,942,Data frame,8
104,943,Data frame,8
70,944,Control frame,13
1098,945,Data frame,8
104,946,Data frame,8
70,947,Control frame,13
706,948,Data frame,8
84,949,Data frame,4
70,950,Control frame,13
234,951,Data frame,8
70,952,Control frame,13
155,953,Data frame,8
342,954,Management frame,8
104,955,Data frame,8
70,956,Control frame,13
138,957,Data frame,8
140,958,Data frame,8
70,959,Control frame,13
172,960,Data frame,8
194,961,Data frame,8
70,962,Control frame,13
84,963,Data frame,4
70,964,Control frame,13
180,965,Data frame,8
135,966,Data frame,8
70,967,Control frame,13
144,968,Data frame,8
144,969,Data frame,8
70,970,Control frame,13
102,971,Data frame,8
215,972,Data frame,8
221,973,Data frame,8
70,974,Control frame,13
281,975,Data frame,8
193,976,Data frame,8
70,977,Control frame,13
84,978,Data frame,4
70,979,Control frame,13
84,980,Data frame,4
70,981,Control frame,13
84,982,Data frame,4
70,983,Control frame,13
84,984,Data frame,4
70,985,Control frame,13
109,986,Management frame,13
70,987,Control frame,13
174,988,Data frame,8
70,989,Control frame,13
164,990,Data frame,0
136,991,Data frame,0
109,992,Management frame,13
80,993,Control frame,8
88,994,Control frame,9
76,995,Control frame,11
70,996,Control frame,12
88,997,Control frame,9
84,998,Data frame,4
70,999,Control frame,13
