Antenna signal,Address Resolution Protocol,Arrival Time,Time since reference or first frame,Beacon Interval,BSS Id,Channel Num,Channel Frequency,Channel Width,Code,Complementary Code Keying (CCK),Country Information,Destination address,Data rate (Mb/s),Dynamic Host Configuration Protocol,Direction,DS status,Duration,Duration Start,Duration End,EAPOL Key Length,EAPOL Length,EAPOL Type,Epoch Time,ESS capabilities,Flag Retry,Frame length on the wire,Frame Number,Frame Type,GTK,Hardware type,Header length,IBSS status,IGTK,KCK,Key Data Length,KEK,Key MIC,Key Nonce,Logical-Link Control,MAC timestamp,Message number,More Data,NetBIOS Name Service,Orthogonal Frequency-Division Multiplexing (OFDM),Opcode,OUI,PMKID,PWR MGT,Present flags,TSFT,TSF timestamp,Protected flag,Protocol type,Reason code,Receiver address,Replay Counter,RX flags,Sender IP address,Sender MAC address,Sequence number,Signal strength (dBm),Source address,SSID,Subtype,Tag length,Tag,Target IP address,Target MAC address,Time to live,Time delta from previous captured frame,Time delta from previous displayed frame,Timestamp value,Timestamp echo reply,Transmitter address,Checksum Status,Checksum Code,Destination IP Address,ICMPv6 Excluded Multicast Address,ICMPv6 Nonce,ICMPv6 Multicast Address Records,IPv4 Address,Protocol,Acknowledgment Flag,Bad Checksum,Destination Port,FIN Flag,PUSH Flag,RTO based on delta from frame,SEQ/ACK analysis,Suspected Retransmission,Suspected Out-of-Order,SYN Flag,tcp.analysis.reused_ports,TCP payload,TCP Analysis Flags,TCP Spurious Retransmission,TCP Sequence Number,TCP Sequence Number (raw),TCP Source Port,Time since first frame in TCP stream,Time since previous frame in TCP stream,Transaction ID DNS,Destination Port UDP,Source Port UDP,Account,Authenticated in Frame,Command,Data,Length,Data Offset,Domain,Error Code Type,Generic Execute,Generic Read,Generic Write,GUID Handle File,Header Length,Host SMBv2,Multiplex ID,NT Status,Previous Session Id,Process Id,ProtocolId,Request/Response,Security Signatures,Server Component,Session Flags,Session Id,Tree Id,Write Length,Write Request,TLS Algorithm,Connection ID,Content Type,Description [TLS Message],Length [TLS Message],Level [TLS Message],Application Data Protocol [TLS],Handshake Type [TLS],Session Ticket Length [TLS],Version [TLS],Additional RRs,Answer RRs,Authoritative,Authority RRs,Broadcast Address,Client hardware address padding,Client IP address,Client MAC address,Connection,Content length,Content-Type,Cookie DHCP,Cookie SSH,Date,DH GEX Max,DH GEX Min,DH GEX Number of Bits,DHCP Server Identifier,DNS Additional Data length,DNS Response Flag,DNS Retransmission Flag,DNS query retransmission,DNS Questions,Domain Name,Domain Name Server,File Data,Full request URI,Group,Host,Hardware type,Host key type length,Host key length,Last-Modified [HTTP],Location,Message Code,M-SEARCH*HTTP/1.1\\r\\n,Message type [DHCP],Name,Name Length,Next server IP address,Next request in frame,Next response in frame,Non-authenticated data,Opcode,Packet Length [SSH],Packet Length (encrypted)  [SSH],Padding Length [SSH],Padding String [SSH],Relay agent IP address,Request Method,Request in frame,Request URI,Request URI Path,Request URI Query,Request URI Query Parameter,Request Version,Response line,Response Version,Response in frame,Response Phrase,Router,Server,Severity level,Status Code,Status Code Description,Supported Protocol,Time since request [HTTP],Transaction ID [DHCP]
"-36 dBm,-37 dBm,-36 dBm",,"Dec 10, 2020 21:53:29.238290000 GTB Standard Time",36.310048,,0c:9d:92:54:fe:30,13,2472MHz,,,TRUE,Vendor Specific,50:3e:aa:e3:1f:be,1,,,Frame from DS to a STA via AP(To DS: 0 From DS: 1),1464\302\265s,13987697700\302\265s,13987699164\302\265s,16,117,Key,1607630009,,Frame is not being retransmitted,215,529,Data frame,,,56,,,,22,,0,9e5d5ead9d59c2e32660241401080c2fcf6db1e195a285d6a700677409f08da3,β\234\223,13987699164,1,No data buffered,,FALSE,,00:0f:ac (Ieee 802.11),ab1e08b5487633e6b2208b8b876d0aba,STA will stay up,β\234\223,"Present,Absent,Absent",13987699164,Data is not protected,,,50:3e:aa:e3:1f:be,2,"Present,Absent,Absent",,,8,-36 dBm,0c:9d:92:54:fe:30,,8,20,β\234\223,,,,0.001495,0.001495,,,0c:9d:92:54:fe:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-34 dBm,-35 dBm,-34 dBm",,"Dec 10, 2020 21:53:29.247180000 GTB Standard Time",36.318938,,0c:9d:92:54:fe:30,13,2472MHz,,,TRUE,"RSN Information,Vendor Specific,Vendor Specific",50:3e:aa:e3:1f:be,1,,,Frame from DS to a STA via AP(To DS: 0 From DS: 1),1992\302\265s,13987705529\302\265s,13987707521\302\265s,16,183,Key,1607630009,,Frame is not being retransmitted,281,536,Data frame,36f8c9e267a4ab1e978f0957f43a6791,,56,,50c3c20dff273e88bfc9f26a4d459117,11aa257b443b4e73fa7cdc3149b267ab,88,9a5f46b01e3ba7d6d260699bfba6d48b,d0a7afd465724bf31d6416d95b3a7dfb,9e5d5ead9d59c2e32660241401080c2fcf6db1e195a285d6a700677409f08da3,β\234\223,13987707521,3,No data buffered,,FALSE,,"00:0f:ac (Ieee 802.11),00:0f:ac (Ieee 802.11)",,STA will stay up,β\234\223,"Present,Absent,Absent",13987707521,Data is not protected,,,50:3e:aa:e3:1f:be,3,"Present,Absent,Absent",,,9,-34 dBm,0c:9d:92:54:fe:30,,8,"20,22,28",β\234\223,,,,0.00453,0.00453,,,0c:9d:92:54:fe:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-35 dBm,-35 dBm,-37 dBm",,"Dec 10, 2020 21:53:40.949485000 GTB Standard Time",48.021243,,0c:9d:92:54:fe:30,13,2472MHz,,,TRUE,Vendor Specific,50:3e:aa:e4:01:93,1,,,Frame from DS to a STA via AP(To DS: 0 From DS: 1),1464\302\265s,13999408741\302\265s,13999410205\302\265s,16,117,Key,1607630021,,Frame is not being retransmitted,215,5780,Data frame,,,56,,,,22,,0,9e5d5ead9d59c2e32660241401080c2fcf6db1e195a285d6a700677409f08da4,β\234\223,13999410205,1,No data buffered,,FALSE,,00:0f:ac (Ieee 802.11),807d1b2827103d9ffec95e218529cac5,STA will stay up,β\234\223,"Present,Absent,Absent",13999410205,Data is not protected,,,50:3e:aa:e4:01:93,2,"Present,Absent,Absent",,,13,-37 dBm,0c:9d:92:54:fe:30,,8,20,β\234\223,,,,0.001528,0.001528,,,0c:9d:92:54:fe:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-35 dBm,-35 dBm,-37 dBm",,"Dec 10, 2020 21:53:40.951264000 GTB Standard Time",48.023022,,0c:9d:92:54:fe:30,13,2472MHz,,,TRUE,Vendor Specific,50:3e:aa:e4:01:93,1,,,Frame from DS to a STA via AP(To DS: 0 From DS: 1),1464\302\265s,13999410532\302\265s,13999411996\302\265s,16,117,Key,1607630021,,Frame is being retransmitted,215,5781,Data frame,,,56,,,,22,,0,9e5d5ead9d59c2e32660241401080c2fcf6db1e195a285d6a700677409f08da4,β\234\223,13999411996,1,No data buffered,,FALSE,,00:0f:ac (Ieee 802.11),807d1b2827103d9ffec95e218529cac5,STA will stay up,β\234\223,"Present,Absent,Absent",13999411996,Data is not protected,,,50:3e:aa:e4:01:93,2,"Present,Absent,Absent",,,13,-37 dBm,0c:9d:92:54:fe:30,,8,20,β\234\223,,,,0.001779,0.001779,,,0c:9d:92:54:fe:30,,,,,,,,,,,,,,,,,,,β\234\223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sequence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Note,,,,,
"-35 dBm,-35 dBm,-37 dBm",,"Dec 10, 2020 21:53:40.953863000 GTB Standard Time",48.025621,,0c:9d:92:54:fe:30,13,2472MHz,,,TRUE,Vendor Specific,50:3e:aa:e4:01:93,1,,,Frame from DS to a STA via AP(To DS: 0 From DS: 1),1464\302\265s,13999413127\302\265s,13999414591\302\265s,16,117,Key,1607630021,,Frame is being retransmitted,215,5783,Data frame,,,56,,,,22,,0,9e5d5ead9d59c2e32660241401080c2fcf6db1e195a285d6a700677409f08da4,β\234\223,13999414591,1,No data buffered,,FALSE,,00:0f:ac (Ieee 802.11),807d1b2827103d9ffec95e218529cac5,STA will stay up,β\234\223,"Present,Absent,Absent",13999414591,Data is not protected,,,50:3e:aa:e4:01:93,2,"Present,Absent,Absent",,,13,-37 dBm,0c:9d:92:54:fe:30,,8,20,β\234\223,,,,0.002277,0.002277,,,0c:9d:92:54:fe:30,,,,,,,,,,,,,,,,,,,β\234\223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sequence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Note,,,,,
"-34 dBm,-34 dBm,-36 dBm",,"Dec 10, 2020 21:53:40.967103000 GTB Standard Time",48.038861,,0c:9d:92:54:fe:30,13,2472MHz,,,TRUE,"RSN Information,Vendor Specific,Vendor Specific",50:3e:aa:e4:01:93,1,,,Frame from DS to a STA via AP(To DS: 0 From DS: 1),1992\302\265s,13999425318\302\265s,13999427310\302\265s,16,183,Key,1607630021,,Frame is not being retransmitted,281,5788,Data frame,36f8c9e267a4ab1e978f0957f43a6791,,56,,50c3c20dff273e88bfc9f26a4d459117,f7f95dc7cf654897161dda6be16fe87c,88,057d98f6471b80b54a2419bf2d377789,e08b9d986a22e02bb96cda87ed6213d2,9e5d5ead9d59c2e32660241401080c2fcf6db1e195a285d6a700677409f08da4,β\234\223,13999427310,3,No data buffered,,FALSE,,"00:0f:ac (Ieee 802.11),00:0f:ac (Ieee 802.11)",,STA will stay up,β\234\223,"Present,Absent,Absent",13999427310,Data is not protected,,,50:3e:aa:e4:01:93,3,"Present,Absent,Absent",,,14,-36 dBm,0c:9d:92:54:fe:30,,8,"20,22,28",β\234\223,,,,0.012194,0.012194,,,0c:9d:92:54:fe:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-35 dBm,-35 dBm,-37 dBm",,"Dec 10, 2020 21:53:52.738481000 GTB Standard Time",59.810239,,0c:9d:92:54:fe:30,13,2472MHz,,,TRUE,Vendor Specific,94:e9:79:82:c5:77,1,,,Frame from DS to a STA via AP(To DS: 0 From DS: 1),1464\302\265s,14011197605\302\265s,14011199069\302\265s,16,117,Key,1607630033,,Frame is not being retransmitted,215,12764,Data frame,,,56,,,,22,,0,9e5d5ead9d59c2e32660241401080c2fcf6db1e195a285d6a700677409f08da5,β\234\223,14011199069,1,No data buffered,,FALSE,,00:0f:ac (Ieee 802.11),a1c4861fd68791cd14122d45cd969333,STA will stay up,β\234\223,"Present,Absent,Absent",14011199069,Data is not protected,,,94:e9:79:82:c5:77,1,"Present,Absent,Absent",,,9,-37 dBm,0c:9d:92:54:fe:30,,8,20,β\234\223,,,,0.001495,0.001495,,,0c:9d:92:54:fe:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-34 dBm,-34 dBm,-35 dBm",,"Dec 10, 2020 21:53:52.751495000 GTB Standard Time",59.823253,,0c:9d:92:54:fe:30,13,2472MHz,,,TRUE,"RSN Information,Vendor Specific,Vendor Specific",94:e9:79:82:c5:77,1,,,Frame from DS to a STA via AP(To DS: 0 From DS: 1),1992\302\265s,14011209549\302\265s,14011211541\302\265s,16,183,Key,1607630033,,Frame is not being retransmitted,281,12768,Data frame,36f8c9e267a4ab1e978f0957f43a6791,,56,,50c3c20dff273e88bfc9f26a4d459117,01cef672377570937e522702217670c5,88,baaae554d286a865fe22458685bf5421,c2e0c2309d280363331266bd41a786b3,9e5d5ead9d59c2e32660241401080c2fcf6db1e195a285d6a700677409f08da5,β\234\223,14011211541,3,No data buffered,,FALSE,,"00:0f:ac (Ieee 802.11),00:0f:ac (Ieee 802.11)",,STA will stay up,β\234\223,"Present,Absent,Absent",14011211541,Data is not protected,,,94:e9:79:82:c5:77,2,"Present,Absent,Absent",,,10,-35 dBm,0c:9d:92:54:fe:30,,8,"20,22,28",β\234\223,,,,0.010141,0.010141,,,0c:9d:92:54:fe:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-37 dBm,-37 dBm,-38 dBm",,"Dec 10, 2020 21:54:14.367376000 GTB Standard Time",81.439134,,0c:9d:92:54:fe:30,13,2472MHz,,,TRUE,Vendor Specific,24:f5:a2:ea:86:c3,1,,,Frame from DS to a STA via AP(To DS: 0 From DS: 1),1464\302\265s,14032826193\302\265s,14032827657\302\265s,16,117,Key,1607630054,,Frame is not being retransmitted,215,14798,Data frame,,,56,,,,22,,0,9e5d5ead9d59c2e32660241401080c2fcf6db1e195a285d6a700677409f08da6,β\234\223,14032827657,1,No data buffered,,FALSE,,00:0f:ac (Ieee 802.11),fddff7434dd27e3ad15f7bc48184ecbe,STA will stay up,β\234\223,"Present,Absent,Absent",14032827657,Data is not protected,,,24:f5:a2:ea:86:c3,1,"Present,Absent,Absent",,,9,-38 dBm,0c:9d:92:54:fe:30,,8,20,β\234\223,,,,0.001492,0.001492,,,0c:9d:92:54:fe:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
